bank,user_name,title,date,review,home_banking,security,support,promotions,services,local_presence
revolut,andrea,homebanking ottimo,15 Marzo 2021,"quello che si cerca da un conto online, per me, è un app semplice e chiara. 5 stelle in questo.
il servizio di cambio valuta non l'ho ancora potuto testare ma sembra al limite del rivoluzionario.",100,80,60,80,100,20
revolut,Luca,Rivoluzione Revolut!,15 Ottobre 2019,"Conto corrente elettronico gestito solo da app! Facile e veloce da usare, tutto zero spese ed assolutamente CONSIGLIATO per il cambio valuta intra-app senza commissioni/maggiorazioni! Tutte le operazioni normali di pagamento ed addebito SEPA sono gratuite! Servizio clienti via chat immediato!",80,80,100,100,80,20
compass,jon,prestiti,27 Maggio 2019,negativi da evitare usurai legalizzati state attenti,20,20,20,20,20,20
buddybank,eugenio,IMPOSSIBILE APRIRE IL CONTO,14 Novembre 2021,"ho provato ad aprire un conto Buddy Bank e, dopo aver effettuato il riconoscimento con SPID, vengo reindirizzato a questo link: https://openaccount.unicredit.it/buddybank/it/start/resume-page.html?resumeid=z5ljBIi3VTLi52weISxcucQ5AOvH_3CbtTX7O0KSQDI%3D in cui mi si chiede di selezionare la mia professione, solo che dopo che l’ho selezionata e aver cliccato su prosegui, la procedura non va avanti poichè mi ricompare sempre la pagina ove selezionare la mia professione e quindi il processo di apertura conto rimane bloccato lì. Insomma, aprire un conto con Buddy Bank è impossibile e si traduce soltanto in una grande perdita di tempo",20,20,20,20,20,20
buddybank,Riccardo,CONSIGLIO PER CHI STA SPERIMENTANDO RITARDI NELL'ATTIVAZIONE,01 Dicembre 2020,"??????CONSIGLIO PER CHI STA SPERIMENTANDO RITARDI NELL’ATTIVAZIONE ??????
L’apertura del conto richiede due passaggi: il primo è la registrazione, e avviene alla prima apertura dell’app. Richiede meno di 10 minuti, e consiste nel fornire i propri dati e gli estremi di un documento d’identità. Al termine di questo primo passaggio bisogna aspettare di essere contattati da BuddyBank, per effettuare una videochiamata durante la quale viene chiesto di confermare a voce le informazioni inserite in fase di registrazione.
L’attesa per la videochiamata può rivelarsi piuttosto lunga. Nel mio caso due settimane. Il mio consiglio è di sollecitare l’assistenza già dopo la prima settimana. Nel mio caso ha funzionato: mi hanno contattato subito e abbiamo fatto la",100,60,100,100,60,20
buddybank,jon,buddybank,17 Dicembre 2019,ottima banca online del gruppo unicredit,100,100,100,100,100,100
buddybank,Gianni,Apple Airpods in regalo,02 Maggio 2019,"Ottima promozione, arrivate Apple Airpods che altrimenti non avrei mai comprato visto il prezzo.

App/Conto molto semplice con funzioni basiche.",80,100,100,100,60,100
banca-sistema,viviana,ottima,05 Febbraio 2019,"Ci lavoro da moti anni, oltre a dare interessi sul conto è completamente gratuita. Facile da interaggire, ottimo servizio clienti, sia per telefono che via mail.
Mancano due cose: carte di credito gratuite e ATM evoluti visto che ci sono poche filiali",100,100,100,100,60,60
banca-sistema,Carla,Mai più,08 Settembre 2018,"Sono cliente di banca sistema da circa 5 anni e ai primi di settembre mentre ero in vacanza il bancomat ha smesso di funzionare perchè era scaduto. ho chiamato il numero verde e mi hanno detto che il nuovo non era mai stato spedito, quindi mi sono ritrovata in vacanza e senza i miei soldi!!!!",20,20,80,20,20,20
n26,Samuele,Semplice,27 Novembre 2020,Non è un vero conto corrente bensì paragonabile ad una carta prepagata,60,80,40,60,40,40
n26,Maria Bucalo,Non è un vero conto ma una carta è una app,28 Settembre 2020,"In teoria potevo addebitare le bollette, in pratica non ci si riesce. Nessuna delle utenze che ho ha accettato le coordinate iban N26. I bonifici dal PC non funzionano mi hanno detto di farli col telefonino, poi mi hanno detto di non scrivere niente nella causale. Quindi niente pagamenti di bollette, devi comunque indicare la fattura che vuoi pagare nella causale... Niente pagamenti di tasse non si possono fare MAV RAV F23 F24.
In pratica è una carta prepagata versi i soldi e li prelevi col bancomat o paghi gli acquisti via internet. Stop",20,80,60,20,20,20
n26,ADRIANO,N26 PRO e CONTRO,25 Marzo 2020,"N26 è una banca tedesca con servizio interamente on-line, il profitto della banca viene dalle carte a pagamento, ma se cercate dei servizi premium vi consiglio di valutare bene le alternative visto il costo mensile..
Per quel che riguarda il conto base è un conto con iban che però non è completo come un conto corrente (finaziamenti,investimenti ecc)
È una buona carta se vi interessa una carta senza spese con cui potete fare bonifici e PAGAMENTI SU INTERNET..
Il cannone è zero
5 prelievi a settimana sono gratuiti
e si interfaccia interamente con l'applicazione dedicata

Una piccola chicca è la possibilità di creare degli spazzi per accantonare risparmi anche mensilmente in modo automatico, servizio che io non sfrutto per il fatto che ho altri conti che però mi sarebbe stato utile",100,60,60,80,40,20
n26,Adriano,PRO e CONTRO,24 Marzo 2020,"N26 è una banca tedesca con servizio interamente on-line, il profitto della banca viene dalle carte a pagamento, ma se cercate dei servizi premium vi consiglio di valutare bene le alternative visto il costo mensile...
Per quel che riguarda il conto base è un conto con iban che però non è completo come un conto corrente (finaziamenti,investimenti ecc)
È una buona carta se vi interessa una carta senza spese con cui potete fare bonifici e PAGAMENTI SU INTERNET..
Il cannone è zero
5 prelievi a settimana sono gratuiti
e si interfaccia interamente con l'applicazione dedicata

Una piccola chicca è la possibilità di creare degli spazzi per accantonare risparmi anche mensilmente in modo automatico, servizio che io non sfrutto per il fatto che ho altri conti che però mi sarebbe stato utile",100,80,60,80,60,20
n26,Fabio,N26 La migliore!,01 Febbraio 2020,"Sono cliente N26 da quasi un anno.
Estremamente veloci nella creazione del conto ( neanche 10 minuti) , l'applicazione è molto ben fatta e intuitiva. Anche il sito.
Rispetto alle altre, ha il vantaggio che all'estero tutte le transazioni via carta non hanno costi di commissione. Ovviamente in tutta Europa prelievi e pagamenti a costo 0. I prelievi all'estero, invece, hanno una commissione del 1,7% (che è fin poco). Inoltre è possibile caricare fino a 50000€. Ricordatevi che se superate i 5000€ di giacenza media pagherete l'imposta di bollo da 35€! BONIFICI A COSTO 0 , MA SOPRATTUTTO COSTI ANNUALI DELLA BANCA PARI A 0!! Vi chiedete come sia possibile? Beh N26 risparmia sui costi non avendo filiali fisiche!
Attualmente N26 rilascia un IBAN tedesco (NON C'E' NESSUN PROBLEMA A LIVEL",100,100,80,100,100,40
n26,BENNY,ottima,30 Luglio 2019,App fatta molto bene facile da usare lo consiglio a tutti. Gli operatori sono subito disponibili per qualsiasi problema.,100,100,100,100,100,100
n26,Sandro,Documenti,02 Febbraio 2019,"Mi dispiace, perché la carta sarebbe utile., ma è assurdo che debba passare ore per inviare di continuo foto, che a dir loro sono illeggibili. In 2 minuti ho aperto due conti con altre banche online. Sevizio PESSIMO",20,20,20,20,20,20
n26,Afra Erika,bellissima,16 Gennaio 2019,"quasi perfetta. accettata in qualsiasi negozio, supporta i prelievi bancomat, supporta google pay. nessuna commissione sui bonifici (la paga la banca per te: proprio per questo motivo sconsiglio di farne spesso per evitare che ti chiudano il conto, in quanto andrebbe a svantaggio della banca pagare troppe commissioni per un unico cliente...) l'app funziona bene. la card arriva in due giorni. non vedo veramente difetti. se vi iscrivete con il mio codice afraeriz8110 avrete 15 € omaggio!",100,100,60,100,100,20
n26,domenico,N26,01 Dicembre 2018,DOPO UN MESE CONTO CONGELATO SENZA POSSIBILITA' DI UTILIZZARE LA CARTA PER PRELIEVI.SONO RIMASTO SOTTO NATALE SENZA POTER MANGIARE CON MOGLIE E FIGLI. SONO PENSIONATO.,40,20,20,20,20,20
n26,Enzo,pericolo!,16 Novembre 2018,possibile frode: da giorni non risponde nessuno al servizio clienti e leggo di molti che si sono visti il loro conto congelato senza preavviso. Probabilmente partiranno svariate denunce alla polizia postale.,20,20,20,20,20,20
n26,Samuele,Semplice,27 Novembre 2020,Non è un vero conto corrente bensì paragonabile ad una carta prepagata,60,80,40,60,40,40
n26,Maria Bucalo,Non è un vero conto ma una carta è una app,28 Settembre 2020,"In teoria potevo addebitare le bollette, in pratica non ci si riesce. Nessuna delle utenze che ho ha accettato le coordinate iban N26. I bonifici dal PC non funzionano mi hanno detto di farli col telefonino, poi mi hanno detto di non scrivere niente nella causale. Quindi niente pagamenti di bollette, devi comunque indicare la fattura che vuoi pagare nella causale... Niente pagamenti di tasse non si possono fare MAV RAV F23 F24.
In pratica è una carta prepagata versi i soldi e li prelevi col bancomat o paghi gli acquisti via internet. Stop",20,80,60,20,20,20
n26,ADRIANO,N26 PRO e CONTRO,25 Marzo 2020,"N26 è una banca tedesca con servizio interamente on-line, il profitto della banca viene dalle carte a pagamento, ma se cercate dei servizi premium vi consiglio di valutare bene le alternative visto il costo mensile..
Per quel che riguarda il conto base è un conto con iban che però non è completo come un conto corrente (finaziamenti,investimenti ecc)
È una buona carta se vi interessa una carta senza spese con cui potete fare bonifici e PAGAMENTI SU INTERNET..
Il cannone è zero
5 prelievi a settimana sono gratuiti
e si interfaccia interamente con l'applicazione dedicata

Una piccola chicca è la possibilità di creare degli spazzi per accantonare risparmi anche mensilmente in modo automatico, servizio che io non sfrutto per il fatto che ho altri conti che però mi sarebbe stato utile",100,60,60,80,40,20
n26,Adriano,PRO e CONTRO,24 Marzo 2020,"N26 è una banca tedesca con servizio interamente on-line, il profitto della banca viene dalle carte a pagamento, ma se cercate dei servizi premium vi consiglio di valutare bene le alternative visto il costo mensile...
Per quel che riguarda il conto base è un conto con iban che però non è completo come un conto corrente (finaziamenti,investimenti ecc)
È una buona carta se vi interessa una carta senza spese con cui potete fare bonifici e PAGAMENTI SU INTERNET..
Il cannone è zero
5 prelievi a settimana sono gratuiti
e si interfaccia interamente con l'applicazione dedicata

Una piccola chicca è la possibilità di creare degli spazzi per accantonare risparmi anche mensilmente in modo automatico, servizio che io non sfrutto per il fatto che ho altri conti che però mi sarebbe stato utile",100,80,60,80,60,20
n26,Fabio,N26 La migliore!,01 Febbraio 2020,"Sono cliente N26 da quasi un anno.
Estremamente veloci nella creazione del conto ( neanche 10 minuti) , l'applicazione è molto ben fatta e intuitiva. Anche il sito.
Rispetto alle altre, ha il vantaggio che all'estero tutte le transazioni via carta non hanno costi di commissione. Ovviamente in tutta Europa prelievi e pagamenti a costo 0. I prelievi all'estero, invece, hanno una commissione del 1,7% (che è fin poco). Inoltre è possibile caricare fino a 50000€. Ricordatevi che se superate i 5000€ di giacenza media pagherete l'imposta di bollo da 35€! BONIFICI A COSTO 0 , MA SOPRATTUTTO COSTI ANNUALI DELLA BANCA PARI A 0!! Vi chiedete come sia possibile? Beh N26 risparmia sui costi non avendo filiali fisiche!
Attualmente N26 rilascia un IBAN tedesco (NON C'E' NESSUN PROBLEMA A LIVEL",100,100,80,100,100,40
n26,BENNY,ottima,30 Luglio 2019,App fatta molto bene facile da usare lo consiglio a tutti. Gli operatori sono subito disponibili per qualsiasi problema.,100,100,100,100,100,100
n26,Sandro,Documenti,02 Febbraio 2019,"Mi dispiace, perché la carta sarebbe utile., ma è assurdo che debba passare ore per inviare di continuo foto, che a dir loro sono illeggibili. In 2 minuti ho aperto due conti con altre banche online. Sevizio PESSIMO",20,20,20,20,20,20
n26,Afra Erika,bellissima,16 Gennaio 2019,"quasi perfetta. accettata in qualsiasi negozio, supporta i prelievi bancomat, supporta google pay. nessuna commissione sui bonifici (la paga la banca per te: proprio per questo motivo sconsiglio di farne spesso per evitare che ti chiudano il conto, in quanto andrebbe a svantaggio della banca pagare troppe commissioni per un unico cliente...) l'app funziona bene. la card arriva in due giorni. non vedo veramente difetti. se vi iscrivete con il mio codice afraeriz8110 avrete 15 € omaggio!",100,100,60,100,100,20
n26,domenico,N26,01 Dicembre 2018,DOPO UN MESE CONTO CONGELATO SENZA POSSIBILITA' DI UTILIZZARE LA CARTA PER PRELIEVI.SONO RIMASTO SOTTO NATALE SENZA POTER MANGIARE CON MOGLIE E FIGLI. SONO PENSIONATO.,40,20,20,20,20,20
n26,Enzo,pericolo!,16 Novembre 2018,possibile frode: da giorni non risponde nessuno al servizio clienti e leggo di molti che si sono visti il loro conto congelato senza preavviso. Probabilmente partiranno svariate denunce alla polizia postale.,20,20,20,20,20,20
hype,stefano monopoli,recensione,11 Dicembre 2020,"Il costo di 9.90 mensile è fuorviante, la carta Hype ha 3 tipologie con 3 diverse opzioni. La prima completamente gratuita la seconda 2,90 al mese e la terza 9,90. Attenti a quello che leggete. Per me è la migliore",80,80,80,100,80,100
hype,Antonella,Hype è ottima,22 Febbraio 2018,"Io uso hype da un anno ormai e mi trovo molto bene. La ricarico e prelevo gratis, faccio tranquillamente bonifici e la uso per scambiare denaro con i miei amici che hanno hype. La consiglio perchè si può usare in tutto il mondo (io l'ho usata in Laos), si ricarica gratuitamente e si preleva gratis!",100,100,100,80,100,80
hype,Matteo M. Cieri,Totalmente inadeguato,16 Dicembre 2017,"Da giorni continuo a scrivere email al centro assistenza ma nessuno mi risponde. Mi trovo all'estero e l'applicazione si blocca, non riesco a fare bonifici, a inviare soldi e la mia carta non risponde. Hanno mandato una sola email scusandosi e accreditandomi 5€.",20,20,20,20,20,20
unipol-banca,Roberto,Menefreghismo,01 Ottobre 2019,"Da alcuni anni la filiale di Cecina ha la cassa in funzione solo al mattino, con ovvio disagio degli utenti che possono assentarsi dal lavoro solo nel pomeriggio e code negli scarni orari di funzionamento. Non hanno pensato ad aprire il pomeriggio almeno 1 o 2 gg. alla settimana né tuttora è presente un terminale smart 24h. Devo effettuare i versamenti sul terminale smart di Sanpaolo Intesa e poi bonificare sul conto Unipol!",80,60,20,20,60,20
unipol-banca,Enrico,Negativo,05 Dicembre 2017,"Non fidatevi, sono dei gallesi e dei truffatori disonenesti! Dal direttore della filiale di Vicenza agli addetti!",20,20,20,20,20,20
esagon,Alessandro,Positivo,03 Febbraio 2017,Ho aperto il conto a giacenza libera e subito dopo il conto deposito vincolato. Procedure abbastanza semplici. Per ora tutto bene.Ho eseguito tutto online e tramite telefono. Ottima l'assistenza,100,100,100,20,60,20
youbanking,Alex,Molto Furbi,23 Giugno 2020,"Ho questo conto da un paio d'anni, inizialmente il conto era veramente economico cambiato il personale e il diretto, i costi sono raddoppiati... no comment. Sono vampiri non fanno l'interesse del cliente ma lo dissanguano.",60,60,20,20,20,60
youbanking,Angelo,Senza trucchi,22 Settembre 2017,"Conto deposito da anni.. conto corrente da poco.. nessuna sorpresa...ti danno quello che dicono ..senza inganni, trucchi e fronzoli.",60,80,80,40,60,80
youbanking,Rudi,pessima banca da evitare,24 Gennaio 2017,"ho avuto un esperienza in particolare per l'apertura di un conto deposito nella filiale di Dalmine, servizio di apertura e chiusura conto pessimo da incompetenti e un continuo dare la colpa sempre ai colleghi trasferiti che non lavorano ancora nella stessa agenzia da evitareeee",20,20,20,20,20,20
youbanking,Giuseppe,Ottimo,29 Ottobre 2016,L'equilibrio tra una filiale nel proprio paese ed il cc online e' stato raggiunto da questo prodotto. Interfaccia grafica molto semplice ed intuitiva zero spese on line mentre in filiale un bonifico costa 1 euro. Per ora molto soddisfatto.,100,100,80,80,100,100
youbanking,Mauro,Buona banca online,15 Agosto 2016,"Ho aperto il c/c e c. deposito ormai 1 anno e mezzo fa, i tassi lordi erano al 2,75% quindi conveniente. L'App Youapp è migliorata con il tempo offrendo maggiori servizi e sicurezza, inoltre fanno ogni anno un concorso a premi in stile gratta e vinci, in palio anche iPhone 6s 64 GB. Lo consiglio.",80,80,80,80,80,80
widiba,Alberto Ambrosini,Pessima,02 Maggio 2023,State alla larga soprattutto su gestioni fondi,20,20,20,20,20,20
widiba,Francesco,Banca poco seria,24 Aprile 2023,"Mi hanno contattato per offrirmi un preventivo di mutuo, dopo aver inviato tutti i documenti, hanno avuto un problema tecnico che non sono stati in grado di risolvere.
Mi hanno fatto perdere 30 giorni di tempo.
Callcenter di incapaci.",20,20,20,20,20,20
widiba,Fabio,Tornando indietro non aprirei il conto con loro,18 Gennaio 2023,"Ti attirano subito ad aprire il conto con promozioni, per poi inserirti spese di bolli errate, o inesistenti.
L'assistenza quando provi a chiarire e dare le tue dimostranze ti dicono che loro non sono tenuti a verificare. sembrano le vecchie compagnie telefoniche che davano abbonamenti bassi per poi attivarti promozioni mai richeste per far cassa.",20,20,20,20,20,20
widiba,Melba,Pessima banca,22 Ottobre 2022,"Fai contratto con loro dopo poco mandano la famosa comunicazione ""modifica unilaterale"".I conteggi delle imposte di bollo sono confusionari ,poco trasparenteiPer me è la solita banca furbacchiona .Non sono affidabili",20,20,20,20,20,20
widiba,Rino,Customer Service pessimo,06 Aprile 2022,"Conto ok ma supporto clienti pessimo!
Ho chiuso il conto e dopo modulo firmato come da loro richiesta e 3 PEC ancora non mi è stato versato il saldo da gennaio!
Rispondono con un generico ""ticket preso in carico"" e poi spariscono.
Assolutamente maleducati e inaffidabili.",40,40,20,40,40,20
widiba,MARCO,"Disastrosi, incompetenti",17 Febbraio 2022,"Ridicolo il commento di Giuseppe che a suo dire tutte le recensioni negative sono false, non so come si permette, un vero maleducato ma per me Widiba è un disastro, fai una richiesta di documenti via PEC e ti chiamano al telefono ubriacandoti di sciocchezze e senza risolvere il problema, vi pare normale che se uno chiede un documento, un rendiconto di un dossier titoli per chiedere la DSU (ISEE) questi neanche ti rispondono ufficialmente ma ti chiamano nel momento che tu magari stai guidando o stai con altre persone chiedendoti cose personali alle quali non puoi rispondere perchè appunto non sei solo, non è più semplice rispondere alla PEC? Altro che smart, questi sono proprio incompetenti, statene alla larga, tra l'altro prima era a canone zero ora si fanno anche pagare, appena posso",20,20,20,20,20,20
widiba,Marco,Ex MPS,24 Gennaio 2022,"Come ex MPS sono davvero deluso dal servizio offerto, servizio in effetti inesistente. Da due mesi cerco di avere le credenziali widiba, ma nessuno il sino non mi consente di inserire un indirizzo all estero! Ridicolo che nessuno sappia risolvere questo problema. Una banca per niente raccomandabile!",20,20,20,20,20,20
widiba,Rocco,Controcorrente NO solo prepagata,26 Agosto 2021,pensavo di aver aperto un conto invece questa mattina ho scoperto che si tratta solo di una prepagata. Ho fatto richiesta del blocchetto assegni mi è stato risposto che se non accredito lo stipendio non me lo danno. Fortunatamente non ho chiuso il mio vecchio controcorrente . Lasciate perdere esiste di meglio.,40,60,20,20,20,20
widiba,Valeria Maria Grazia Vadalà,La mia esperienza con Widiba: un incubo,09 Agosto 2021,"La mia esperienza con Widiba si può descrivere con due parole: UN INCUBO.
Widiba ha deciso di chiudere il conto in maniera unilaterale, senza alcun tipo di motivazione.
Mai uno scoperto, liquidità sempre maggiore ai 1000€.
Mi ritrovo Sabato 7 Agosto 2021 con domiciliazione bollette revocata.
Vado a pagare col bancomat: Transazioni negate.
Vado a prelevare: carta non abilitata
Chiamo l'assistenza e mi dicono che effettivamente è strano: non risulta più attiva la carta di debito ma non risulta neanche una mia richiesta di disattivazione.
Devo farmi prestare soldi dalla mia compagna.
Domenica: call center Widiba inesistente, quello Monte Paschi non prende in carico i conti widiba.
Oggi è il 9 Agosto vedo il mio conto a 0.
I soldi risultano stornati con ritiro in cassa. Widiba no",20,20,20,20,20,20
widiba,Giuseppe,Cliente,09 Luglio 2021,La miglior banca. La maggior parte delle opinioni negative sono false,100,100,100,100,100,100
widiba,Alberto Ambrosini,Pessima,02 Maggio 2023,State alla larga soprattutto su gestioni fondi,20,20,20,20,20,20
widiba,Francesco,Banca poco seria,24 Aprile 2023,"Mi hanno contattato per offrirmi un preventivo di mutuo, dopo aver inviato tutti i documenti, hanno avuto un problema tecnico che non sono stati in grado di risolvere.
Mi hanno fatto perdere 30 giorni di tempo.
Callcenter di incapaci.",20,20,20,20,20,20
widiba,Fabio,Tornando indietro non aprirei il conto con loro,18 Gennaio 2023,"Ti attirano subito ad aprire il conto con promozioni, per poi inserirti spese di bolli errate, o inesistenti.
L'assistenza quando provi a chiarire e dare le tue dimostranze ti dicono che loro non sono tenuti a verificare. sembrano le vecchie compagnie telefoniche che davano abbonamenti bassi per poi attivarti promozioni mai richeste per far cassa.",20,20,20,20,20,20
widiba,Melba,Pessima banca,22 Ottobre 2022,"Fai contratto con loro dopo poco mandano la famosa comunicazione ""modifica unilaterale"".I conteggi delle imposte di bollo sono confusionari ,poco trasparenteiPer me è la solita banca furbacchiona .Non sono affidabili",20,20,20,20,20,20
widiba,Rino,Customer Service pessimo,06 Aprile 2022,"Conto ok ma supporto clienti pessimo!
Ho chiuso il conto e dopo modulo firmato come da loro richiesta e 3 PEC ancora non mi è stato versato il saldo da gennaio!
Rispondono con un generico ""ticket preso in carico"" e poi spariscono.
Assolutamente maleducati e inaffidabili.",40,40,20,40,40,20
widiba,MARCO,"Disastrosi, incompetenti",17 Febbraio 2022,"Ridicolo il commento di Giuseppe che a suo dire tutte le recensioni negative sono false, non so come si permette, un vero maleducato ma per me Widiba è un disastro, fai una richiesta di documenti via PEC e ti chiamano al telefono ubriacandoti di sciocchezze e senza risolvere il problema, vi pare normale che se uno chiede un documento, un rendiconto di un dossier titoli per chiedere la DSU (ISEE) questi neanche ti rispondono ufficialmente ma ti chiamano nel momento che tu magari stai guidando o stai con altre persone chiedendoti cose personali alle quali non puoi rispondere perchè appunto non sei solo, non è più semplice rispondere alla PEC? Altro che smart, questi sono proprio incompetenti, statene alla larga, tra l'altro prima era a canone zero ora si fanno anche pagare, appena posso",20,20,20,20,20,20
widiba,Marco,Ex MPS,24 Gennaio 2022,"Come ex MPS sono davvero deluso dal servizio offerto, servizio in effetti inesistente. Da due mesi cerco di avere le credenziali widiba, ma nessuno il sino non mi consente di inserire un indirizzo all estero! Ridicolo che nessuno sappia risolvere questo problema. Una banca per niente raccomandabile!",20,20,20,20,20,20
widiba,Rocco,Controcorrente NO solo prepagata,26 Agosto 2021,pensavo di aver aperto un conto invece questa mattina ho scoperto che si tratta solo di una prepagata. Ho fatto richiesta del blocchetto assegni mi è stato risposto che se non accredito lo stipendio non me lo danno. Fortunatamente non ho chiuso il mio vecchio controcorrente . Lasciate perdere esiste di meglio.,40,60,20,20,20,20
widiba,Valeria Maria Grazia Vadalà,La mia esperienza con Widiba: un incubo,09 Agosto 2021,"La mia esperienza con Widiba si può descrivere con due parole: UN INCUBO.
Widiba ha deciso di chiudere il conto in maniera unilaterale, senza alcun tipo di motivazione.
Mai uno scoperto, liquidità sempre maggiore ai 1000€.
Mi ritrovo Sabato 7 Agosto 2021 con domiciliazione bollette revocata.
Vado a pagare col bancomat: Transazioni negate.
Vado a prelevare: carta non abilitata
Chiamo l'assistenza e mi dicono che effettivamente è strano: non risulta più attiva la carta di debito ma non risulta neanche una mia richiesta di disattivazione.
Devo farmi prestare soldi dalla mia compagna.
Domenica: call center Widiba inesistente, quello Monte Paschi non prende in carico i conti widiba.
Oggi è il 9 Agosto vedo il mio conto a 0.
I soldi risultano stornati con ritiro in cassa. Widiba no",20,20,20,20,20,20
widiba,Giuseppe,Cliente,09 Luglio 2021,La miglior banca. La maggior parte delle opinioni negative sono false,100,100,100,100,100,100
widiba,Alberto Ambrosini,Pessima,02 Maggio 2023,State alla larga soprattutto su gestioni fondi,20,20,20,20,20,20
